Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  40674598	CAFE EXPRESS        	397 SOUTH END AVENUE	American            	01/04/2016	 29
  40693952	J.R'S CABARET       	1625 EAST 233 STREET	American            	01/04/2016	   
  40693952	J.R'S CABARET       	1625 EAST 233 STREET	American            	01/04/2016	 10
  40693952	J.R'S CABARET       	1625 EAST 233 STREET	American            	01/04/2016	 10
  40707194	MICHAEL'S RESTAURANT	3317 BROADWAY       	Continental         	01/04/2016	 20
  40707194	MICHAEL'S RESTAURANT	3317 BROADWAY       	Continental         	01/04/2016	 20
  40707194	MICHAEL'S RESTAURANT	3317 BROADWAY       	Continental         	01/04/2016	 20
  40707194	MICHAEL'S RESTAURANT	3317 BROADWAY       	Continental         	01/04/2016	 20
  40707194	MICHAEL'S RESTAURANT	3317 BROADWAY       	Continental         	01/04/2016	 20
  40731341	VILLA RUSTICA RISTOR	7328 BELL BOULEVARD 	Italian             	01/04/2016	  8
  40789156	BROOKDALE           	455 NORTH END AVENUE	American            	01/04/2016	   
  40803254	PALMA               	28 CORNELIA STREET  	Italian             	01/04/2016	 23
  40803254	PALMA               	28 CORNELIA STREET  	Italian             	01/04/2016	 23
  40803254	PALMA               	28 CORNELIA STREET  	Italian             	01/04/2016	 23
  40803254	PALMA               	28 CORNELIA STREET  	Italian             	01/04/2016	 23
  40803550	BAKER STREET PUB    	1152 1 AVENUE       	American            	01/04/2016	 18
  40803550	BAKER STREET PUB    	1152 1 AVENUE       	American            	01/04/2016	 18
  40803550	BAKER STREET PUB    	1152 1 AVENUE       	American            	01/04/2016	 18
  40803550	BAKER STREET PUB    	1152 1 AVENUE       	American            	01/04/2016	 18
  40816772	CITY CHOW CAFE V (EQ	420 LEXINGTON AVENUE	Café/Coffee/Tea     	01/04/2016	   
  40816772	CITY CHOW CAFE V (EQ	420 LEXINGTON AVENUE	CafÃ©/Coffee/Tea    	01/04/2016	  9
  40816772	CITY CHOW CAFE V (EQ	420 LEXINGTON AVENUE	CafÃ©/Coffee/Tea    	01/04/2016	  9
  40848434	COFFEE EXPRESS      	4705 METROPOLITAN AV	Café/Coffee/Tea     	01/04/2016	 11
  40848434	COFFEE EXPRESS      	4705 METROPOLITAN AV	Café/Coffee/Tea     	01/04/2016	 11
  40848434	COFFEE EXPRESS      	4705 METROPOLITAN AV	Café/Coffee/Tea     	01/04/2016	 11
  40885643	APPLEBEE'S          	2505 EMMONS AVENUE  	American            	01/04/2016	  9
  40885643	APPLEBEE'S          	2505 EMMONS AVENUE  	American            	01/04/2016	  9
  40885643	APPLEBEE'S          	2505 EMMONS AVENUE  	American            	01/04/2016	  9
  40900938	DISHES              	48 GRAND CENTRAL TER	American            	01/04/2016	  3
  40923811	BLACK DOOR          	127 WEST 26 STREET  	American            	01/04/2016	 13
  40923811	BLACK DOOR          	127 WEST 26 STREET  	American            	01/04/2016	 13
  40923811	BLACK DOOR          	127 WEST 26 STREET  	American            	01/04/2016	 13
  40984001	LABADEE MANOIR      	2071315 JAMAICA AVEN	Caribbean           	01/04/2016	 53
